    No.  A,     A(x),     A(y),     A(z),     No. B,     B(x),     B(y),     B(z),     No. M,     M(x),     M(y),    M(z),     No. N,     N(x),     N(y),    N(z),    current,voltage,App.ch1,App.ch2,App.ch3,App.ch4,App.ch5,App.ch6,App.ch7,App.ch8,App.ch9,App.ch10
1,-0.14,-0.2275,0.01,8,-0.14,0.2275,0.01,2,-0.14,-0.1625,0.01,3,-0.14,-0.0975,0.01,100,5.7717,0.28529,0.22416,0.18511,0.14945,0.12738,0.10531,0.088327,0.075593,0.06201,0.05352
1,-0.14,-0.2275,0.01,8,-0.14,0.2275,0.01,2,-0.14,-0.1625,0.01,4,-0.14,-0.0325,0.01,100,8.5117,0.48229,0.34395,0.27477,0.22866,0.22866,0.18254,0.11337,0.11337,0.09031,0.067252
1,-0.14,-0.2275,0.01,8,-0.14,0.2275,0.01,2,-0.14,-0.1625,0.01,5,-0.14,0.0325,0.01,100,10.449,0.40071,0.32558,0.28801,0.21288,0.1941,0.13775,0.15653,0.13775,0.10018,0.10018
1,-0.14,-0.2275,0.01,8,-0.14,0.2275,0.01,2,-0.14,-0.1625,0.01,6,-0.14,0.0975,0.01,100,13.137,0.41145,0.30687,0.27699,0.21724,0.18736,0.15748,0.14254,0.14254,0.11267,0.11267
1,-0.14,-0.2275,0.01,8,-0.14,0.2275,0.01,2,-0.14,-0.1625,0.01,7,-0.14,0.1625,0.01,100,18.865,0.36195,0.28913,0.24751,0.1955,0.1955,0.15388,0.13308,0.15388,0.12267,0.12267
1,-0.14,-0.2275,0.01,8,-0.14,0.2275,0.01,3,-0.14,-0.0975,0.01,4,-0.14,-0.0325,0.01,100,2.7864,0.82181,0.63541,0.50528,0.41911,0.34701,0.29778,0.25557,0.22392,0.19402,0.17292
1,-0.14,-0.2275,0.01,8,-0.14,0.2275,0.01,3,-0.14,-0.0975,0.01,5,-0.14,0.0325,0.01,100,4.7337,0.57078,0.45796,0.38239,0.32546,0.28406,0.25093,0.22609,0.20539,0.18468,0.16916
1,-0.14,-0.2275,0.01,8,-0.14,0.2275,0.01,3,-0.14,-0.0975,0.01,6,-0.14,0.0975,0.01,100,7.4376,0.49847,0.40228,0.3364,0.29226,0.25669,0.22902,0.20728,0.19015,0.17565,0.16182
1,-0.14,-0.2275,0.01,8,-0.14,0.2275,0.01,3,-0.14,-0.0975,0.01,7,-0.14,0.1625,0.01,100,13.109,0.3562,0.32626,0.2514,0.2514,0.20649,0.17654,0.17654,0.16157,0.16157,0.1466
1,-0.14,-0.2275,0.01,8,-0.14,0.2275,0.01,4,-0.14,-0.0325,0.01,5,-0.14,0.0325,0.01,100,1.9441,0.20982,0.20226,0.19722,0.19974,0.19218,0.18714,0.1821,0.17706,0.17454,0.16698
