X(m),Y(m),Z(m),SP data(mV)
-0.14,-0.225,0.01,0
-0.14,-0.175,0.01,0
-0.14,-0.125,0.01,-2
-0.14,-0.075,0.01,-3
-0.14,-0.025,0.01,-5
-0.14,0.025,0.01,-6
-0.14,0.075,0.01,-7
-0.14,0.125,0.01,-5
-0.14,0.175,0.01,-4
-0.14,0.225,0.01,-3
-0.1,-0.225,0.01,0
-0.1,-0.175,0.01,-2
-0.1,-0.125,0.01,-3
-0.1,-0.075,0.01,-6
-0.1,-0.025,0.01,-11
-0.1,0.025,0.01,-17
-0.1,0.075,0.01,-16
-0.1,0.125,0.01,-8
-0.1,0.175,0.01,-5
-0.1,0.225,0.01,-4
-0.06,-0.225,0.01,0
-0.06,-0.175,0.01,-2
-0.06,-0.125,0.01,-4
-0.06,-0.075,0.01,-7
-0.06,-0.025,0.01,-18
-0.06,0.025,0.01,-42
-0.06,0.075,0.01,-22
-0.06,0.125,0.01,-9
-0.06,0.175,0.01,-6
-0.06,0.225,0.01,-4
-0.02,-0.225,0.01,0
-0.02,-0.175,0.01,-2
-0.02,-0.125,0.01,-3
-0.02,-0.075,0.01,-7
-0.02,-0.025,0.01,-20
-0.02,0.025,0.01,-75
-0.02,0.075,0.01,-31
-0.02,0.125,0.01,-9
-0.02,0.175,0.01,-5
-0.02,0.225,0.01,-3
0.02,-0.225,0.01,0
0.02,-0.175,0.01,-2
0.02,-0.125,0.01,-2
0.02,-0.075,0.01,-4
0.02,-0.025,0.01,-9
0.02,0.025,0.01,-22
0.02,0.075,0.01,-18
0.02,0.125,0.01,-9
0.02,0.175,0.01,-5
0.02,0.225,0.01,-3
0.06,-0.225,0.01,0
0.06,-0.175,0.01,-1
0.06,-0.125,0.01,-1
0.06,-0.075,0.01,-2
0.06,-0.025,0.01,-5
0.06,0.025,0.01,-9
0.06,0.075,0.01,-8
0.06,0.125,0.01,-5
0.06,0.175,0.01,-3
0.06,0.225,0.01,-2
0.1,-0.225,0.01,0
0.1,-0.175,0.01,0
0.1,-0.125,0.01,-1
0.1,-0.075,0.01,-2
0.1,-0.025,0.01,-3
0.1,0.025,0.01,-4
0.1,0.075,0.01,-5
0.1,0.125,0.01,-4
0.1,0.175,0.01,-2
0.1,0.225,0.01,-2
0.14,-0.225,0.01,0
0.14,-0.175,0.01,0
0.14,-0.125,0.01,0
0.14,-0.075,0.01,0
0.14,-0.025,0.01,-3
0.14,0.025,0.01,-3
0.14,0.075,0.01,0
0.14,0.125,0.01,0
0.14,0.175,0.01,0
0.14,0.225,0.01,-2
