X(m),Y(m),Z(m),SP(mV)
-0.14,-0.2275,0.01,2.8
-0.14,-0.1625,0.01,2.2
-0.14,-0.0975,0.01,0.3
-0.14,-0.0325,0.01,0.1
-0.14,0.0325,0.01,0
-0.14,0.0975,0.01,0
-0.14,0.1625,0.01,3.2
-0.14,0.2275,0.01,3.9
-0.1,-0.2275,0.01,2.9
-0.1,-0.1625,0.01,1.7
-0.1,-0.0975,0.01,-0.5
-0.1,-0.0325,0.01,-2.1
-0.1,0.0325,0.01,-1.2
-0.1,0.0975,0.01,0.9
-0.1,0.1625,0.01,2.8
-0.1,0.2275,0.01,3.4
-0.06,-0.2275,0.01,1.7
-0.06,-0.1625,0.01,-0.9
-0.06,-0.0975,0.01,-5
-0.06,-0.0325,0.01,-12
-0.06,0.0325,0.01,-8.3
-0.06,0.0975,0.01,-0.7
-0.06,0.1625,0.01,2.5
-0.06,0.2275,0.01,3
-0.02,-0.2275,0.01,2.3
-0.02,-0.1625,0.01,-3.7
-0.02,-0.0975,0.01,-9.3
-0.02,-0.0325,0.01,-29.7
-0.02,0.0325,0.01,-24.7
-0.02,0.0975,0.01,-2.4
-0.02,0.1625,0.01,2.4
-0.02,0.2275,0.01,1.4
0.02,-0.2275,0.01,2
0.02,-0.1625,0.01,-3.7
0.02,-0.0975,0.01,-8.4
0.02,-0.0325,0.01,-42
0.02,0.0325,0.01,-32.8
0.02,0.0975,0.01,-3
0.02,0.1625,0.01,2.6
0.02,0.2275,0.01,3.7
0.06,-0.2275,0.01,3.6
0.06,-0.1625,0.01,0.5
0.06,-0.0975,0.01,-2.1
0.06,-0.0325,0.01,-9.1
0.06,0.0325,0.01,-14.2
0.06,0.0975,0.01,-0.3
0.06,0.1625,0.01,2.5
0.06,0.2275,0.01,0.1
0.1,-0.2275,0.01,3
0.1,-0.1625,0.01,2.2
0.1,-0.0975,0.01,1.1
0.1,-0.0325,0.01,-2.5
0.1,0.0325,0.01,-2.1
0.1,0.0975,0.01,1.2
0.1,0.1625,0.01,3.4
0.1,0.2275,0.01,3.5
0.14,-0.2275,0.01,4.3
0.14,-0.1625,0.01,3.5
0.14,-0.0975,0.01,2
0.14,-0.0325,0.01,0.5
0.14,0.0325,0.01,0.7
0.14,0.0975,0.01,2.2
0.14,0.1625,0.01,3.1
0.14,0.2275,0.01,3
